46-1	1.0	0.5	0.5	1.0	0.5	0.5	1.0	1.0	0.5	1.0	8.37333036447	14.784597	2.49261715046	0.025803967515	0.775746383953	55.1874603981	3.38482086927	66.256896	79.39876	1771.413709
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
47-1	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	10.9973512062	28.81297	4.9946198386	0.0377665512448	33.947298428	107.43511871	7.166237985510001	28.81297	46.420896	584.79657
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
48-1	1.5	1.0	1.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.7068760118	4.182239	7.39387459986	0.07780633723	72.56982023409999	137.265098196	7.96910974134	8.182642	7.273460000000001	428.406789
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
49-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18.7690337448	8.926839999999997	10.8618193784	0.06893414244900001	24.4774064199	49.5892104465	15.2562123141	36.323004	75.41640600000002	1021.969261
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
50-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18.225033109600002	36.020056	21.5310517696	0.176286149542	8.84106173158	29.5994716708	35.5188987135	61.88329399999999	68.89882800000001	841.026425
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
51-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.7356239959	8.665104	9.33637533168	0.016045938367500002	63.720573935699996	71.4850986958	7.00252327115	22.36156	31.585703	1199.977191
Line	CNV_STAT5B	CNV_MIR19A	CNV_STAT5A	CNV_ESR2	CNV_ESR1	CNV_CCND1	CNV_PIM1	CNV_MIR222	CNV_MIR19B1	CNV_MIR23B	STAT5B	MIR19A	STAT5A	ESR2	ESR1	CCND1	PIM1	MIR222	MIR19B1	MIR23B
52-1	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	6.05300389096	15.301703	3.86458711584	0.0412991156407	67.0759489206	145.222423176	3.22097125386	9.563564	30.603406	290.971445
