LINE,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2,MIR335,JUND,FOXP2,TFAP2C,FOSL1,PLAUR
CADOES1,0.602259,0.345395,1.12495,1.06094,0.97262,0.449144,0.423532,0.357491,0.305586,1e-06,0.121829,0.406169,0.526895,0.585918,0.839068,212.463,0.627015,1.31318,0.0702057,0.430664,6.17493,6.7211,9.41341e-09,1.70487,0.555816,2.9401
CAKI1,0.539279,0.680941,0.679613,0.680526,0.647222,0.139229,0.453753,0.390793,0.359516,0.0264621,0.135481,0.508771,0.765039,0.564449,0.581077,0.813294,0.531853,1.27091,0.404314,0.430639,6.27221,5.4363,0.0976108,0.545968,6.54303,3.05175
CAKI2,0.482463,0.556791,0.382674,0.413336,0.465029,0.475014,0.512599,0.460621,0.53109,0.616558,0.128804,0.372037,0.523019,0.594742,0.370363,0.401391,0.557888,1.40276,0.549564,0.443289,5.9982,5.78842,3.07211,2.72465,6.26622,2.98139
CAL120,0.543164,0.418761,0.766174,0.675101,0.61232,0.0256826,0.459322,0.333352,0.426503,0.254378,0.104471,0.338347,0.789337,0.677869,0.567417,0.687648,0.685922,1.0996,0.429162,0.344234,8.1091,5.68454,0.739848,0.0976108,7.67037,3.04691
CAL12T,0.530834,0.639111,1.32674e-05,0.374914,0.664983,0.559382,0.424322,0.322173,0.372213,0.00829369,0.138632,0.390056,0.380059,0.572822,0.516535,1.15549,0.585677,0.988925,0.465902,0.292965,6.00607,4.86096,0.0143553,4.41549,7.40829,3.06865
CAL148,0.552046,0.210265,0.659497,0.663596,0.666858,0.643246,0.457437,0.411106,0.373694,1e-06,0.103904,0.488675,0.375828,0.567517,0.809125,86.248,0.511664,1.15187,0.116015,0.427272,6.28225,6.18864,3.47834e-08,5.13463,0.659925,3.01152
CAL27,0.545362,0.29739,0.486578,0.669815,0.609399,0.571429,0.450276,0.323276,0.404529,0.160231,0.136398,0.382177,0.428186,0.666398,0.651214,0.740166,0.629886,0.899246,0.361935,0.322872,6.59261,4.21101,0.432959,4.0036,5.0072,2.90702
CAL29,0.540049,0.413044,0.731651,0.629784,0.630453,0.547767,0.461682,0.352249,0.422561,0.0430901,0.0790936,0.379816,0.454465,0.734356,0.62188,0.77618,0.635255,1.40662,0.366875,0.360712,6.69014,5.29829,0.111031,4.8212,5.64299,2.94717
CAL33,0.529975,0.433017,0.661599,0.594922,0.619169,0.528024,0.472541,0.37903,0.445809,0.0635077,0.134883,0.392661,0.473,0.649803,0.604091,0.776859,0.622406,1.15737,0.373742,0.346266,6.34038,5.04264,0.163499,4.46532,3.93923,3.19727
CAL51,0.566758,0.272327,0.716756,0.743307,0.591311,0.131992,0.434866,0.404358,0.316772,0.0578162,0.115719,0.393899,0.741226,0.565907,0.766291,0.768017,0.624158,1.1565,0.254355,0.430121,6.33825,5.60999,0.15056,0.356144,1.67807,3.04022
CAL54,0.528476,0.61143,0.600976,0.630599,0.606465,0.102354,0.495519,0.401394,0.485894,0.335884,0.102183,0.543038,0.811233,0.81149,0.592712,0.654391,0.455901,1.2127,0.375221,0.401109,6.71631,6.42223,2.05311,0.378512,6.23783,2.96572
CAL62,0.550728,0.651723,0.803187,0.726511,0.674506,0.0766476,0.452653,0.326712,0.407807,0.500701,0.143726,0.386699,0.769919,0.747572,0.529789,0.517902,0.616474,1.27094,0.459279,0.379512,6.37678,5.73579,1.93357,0.298658,8.2151,3.04596
CAL78,0.543114,0.594251,0.731151,0.736061,0.645594,0.0542272,0.465496,0.402627,0.380193,0.238673,0.120202,0.559879,0.788739,0.591502,0.540473,0.703975,0.461759,1.28472,0.420669,0.437186,6.59798,5.84599,0.678072,0.137504,6.96451,2.95644
CAL851,0.571232,0.745827,1.22818,0.715542,0.678371,0.561381,0.449526,0.356437,0.352254,0.00361323,0.192057,0.530755,0.447595,1.01149,0.490408,0.5034,0.566307,1.12563,0.452891,0.36892,6.4019,3.57168,0.0143553,2.50843,6.76713,2.91784
CALU1,0.541528,0.63242,0.768249,0.672441,0.632353,0.0254255,0.462414,0.361899,0.406662,0.359994,0.148606,0.400225,0.781435,0.578463,0.5095,0.612067,0.602153,1.29146,0.48489,0.435159,6.01814,5.46923,1.17632,0.0976108,8.48696,3.00907
CALU3,0.518444,0.551161,0.621576,0.609245,0.56537,0.257557,0.487835,0.352844,0.479241,0.100797,0.107012,0.388741,0.680448,0.735008,0.542085,0.766413,0.614399,1.33959,0.460273,0.270495,6.32193,3.8748,0.263034,0.757023,5.32481,2.94413
CALU6,0.554317,0.575779,0.852701,0.765047,0.67558,0.503901,0.449554,0.378452,0.372279,0.0275737,0.181348,0.384627,0.495984,0.573535,0.55817,0.783462,0.62256,1.04545,0.434145,0.423734,6.47444,5.01257,0.0703893,3.04789,6.04527,2.95525
CAMA1,0.502635,1e-06,0.507013,0.506041,0.506562,0.758735,0.497365,0.432736,0.492182,0.572219,0.0932061,0.498373,0.295347,0.573004,0.759129,0.433245,0.501624,1.04642,0.106842,0.419883,6.03914,6.21412,2.64155,5.13791,0.422233,2.9311
CAOV3,0.58503,0.566959,1.03125,0.974111,0.781781,0.591337,0.423541,0.34505,0.303498,0.0382959,0.140683,0.370306,0.417629,0.572887,0.657726,0.784666,0.644814,1.22014,0.34765,0.423479,6.96521,5.09677,0.0976108,2.83188,4.11187,2.9568
CAOV4,0.549037,0.44536,0.733106,0.697093,0.675682,0.496332,0.453838,0.3997,0.377997,0.080429,0.122653,0.391401,0.500582,0.576879,0.815963,0.797773,0.618866,1.12071,0.211964,0.420353,6.32463,5.17991,0.201634,2.97453,1.71809,2.91467
CAPAN1,0.550459,0.563729,0.744803,0.6455,0.68993,0.298693,0.45183,0.306657,0.419168,0.182483,0.142573,0.388961,0.65956,0.826195,0.590855,0.721431,0.622638,1.22769,0.400913,0.304479,6.4031,5.81121,0.505891,1.81147,5.80271,2.94826
CAPAN2,0.512265,0.571681,1.00993e-06,1.03208e-06,0.625733,0.184369,0.398197,0.29181,0.334134,0.0609088,0.147435,0.375812,1.34083,0.331448,0.588614,1.4491,0.600577,0.978758,0.461892,0.161539,6.39232,6.95059,0.0840643,0.275007,7.80555,2.92425
CAS1,0.586359,0.742302,0.81366,0.830518,0.847351,0.258452,0.447579,0.398536,0.346428,0.00382539,0.111748,0.501464,0.724369,0.612229,0.593744,0.799439,0.522042,0.958258,0.408189,0.447155,6.24622,4.91504,0.0143553,1.07039,6.39146,2.92149
CCFSTTG1,0.541953,0.574226,0.689489,0.71202,0.650387,0.695812,0.467608,0.399301,0.404812,0.00376757,0.122298,0.477167,0.260472,0.581957,0.522879,0.787355,0.513274,1.15602,0.457995,0.425283,6.45401,5.28503,0.0143553,5.3427,7.06824,2.92312
CCK81,0.53952,0.397029,0.684524,0.688582,0.627561,0.249954,0.462604,0.35341,0.427975,0.152375,0.132128,0.377906,0.691947,0.647134,0.617717,0.740718,0.637419,1.1904,0.363929,0.329262,6.74685,5.32409,0.411426,0.722466,3.66903,3.0528
CFPAC1,0.502481,0.704982,1.25633e-05,1.98759e-05,0.829913,0.223175,0.393519,0.289785,0.322966,0.400766,0.120409,0.344822,0.20131,0.29942,0.393181,1.23168,0.572263,0.879624,0.320209,0.227248,6.63836,4.99729,0.650765,2.21723,7.36711,3.03584
CHAGOK1,0.535648,0.175893,0.63717,0.620614,0.614287,0.619081,0.472104,0.400949,0.439216,0.319598,0.10361,0.464551,0.393735,0.675984,0.748708,0.645466,0.536632,1.15393,0.206649,0.332977,6.93097,5.89433,1.48543,4.71699,1.12433,2.95549
CHP126,0.65491,0.428251,0.981609,1.20534,0.915904,0.0114641,0.378683,0.364712,0.1246,1e-06,0.105325,0.478699,0.802548,0.567598,0.813021,215.996,0.520019,1.15381,0.0832753,0.424492,6.51791,6.48752,1.38891e-08,0.0285692,0.773996,2.9915
CHP212,0.508374,0.501469,0.532218,0.536316,0.533868,0.735171,0.492485,0.393155,0.479619,1e-06,0.124649,0.391878,0.320562,0.556481,0.553663,254.505,0.635815,1.17784,0.443425,0.438796,6.48993,5.32121,7.85838e-09,4.58676,5.87603,3.15408
CI1,0.398482,1e-06,0.275631,0.252915,0.264626,0.0564669,0.580558,0.47085,0.677331,0.00567396,0.107413,0.380976,0.750094,0.59204,0.760255,0.790504,0.61343,1.01364,0.257753,0.451176,6.44062,4.68032,0.0143553,0.15056,0.678072,3.04828
CJM,0.526212,0.526446,0.660761,0.607213,0.576779,0.63481,0.474191,0.354982,0.454252,0.00568697,0.143655,0.376328,0.37929,0.67851,0.537641,0.792316,0.630339,1.18847,0.45659,0.338358,6.69988,4.89772,0.0143553,5.02104,9.11681,2.99207
CL11,0.555307,0.635182,0.683948,0.794601,0.701178,0.590164,0.456219,0.390938,0.348633,0.125289,0.109262,0.513323,0.397302,0.592528,0.518262,0.749084,0.492861,1.22131,0.450574,0.435323,7.6811,5.58496,0.669027,2.97085,7.90707,2.93875
CL14,0.553335,0.403689,0.843275,0.740119,0.65024,0.575355,0.450463,0.367575,0.376182,0.0113627,0.122056,0.388404,0.431907,0.569234,0.627479,0.795455,0.621796,1.184,0.338292,0.427294,6.40361,5.78477,0.0285692,3.99639,5.39438,3.00259
