time, species_1, species_2, species_3
9.9, 3.7035e-11, 3.69769e-11, 2.59874e-11
10, 3.66597e-11, 3.69819e-11, 2.63577e-11

0, 9.99993e-11, 0, 0
0.1, 9.90229e-11, 9.63113e-13, 1.32843e-14
0.2, 9.80515e-11, 1.9229e-12, 2.49081e-14
0.3, 9.70303e-11, 2.92919e-12, 3.98529e-14
0.4, 9.60323e-11, 3.90061e-12, 6.64216e-14
0.5, 9.51505e-11, 4.73752e-12, 1.11256e-13
0.6, 9.41708e-11, 5.6558e-12, 1.72696e-13
0.7, 9.32542e-11, 6.50931e-12, 2.35797e-13
0.8, 9.23127e-11, 7.36781e-12, 3.18823e-13
0.9, 9.13662e-11, 8.21967e-12, 4.13474e-13
1, 9.04247e-11, 9.08813e-12, 4.86538e-13
1.1, 8.95479e-11, 9.88187e-12, 5.69565e-13
1.2, 8.86562e-11, 1.0669e-11, 6.74179e-13
1.3, 8.77894e-11, 1.14245e-11, 7.85435e-13
1.4, 8.69458e-11, 1.21601e-11, 8.9337e-13
1.5, 8.6094e-11, 1.28642e-11, 1.04116e-12
1.6, 8.52703e-11, 1.35218e-11, 1.20721e-12
1.7, 8.44168e-11, 1.42308e-11, 1.35168e-12
1.8, 8.35633e-11, 1.49449e-11, 1.49116e-12
1.9, 8.26915e-11, 1.56605e-11, 1.64725e-12
2, 8.19127e-11, 1.62816e-11, 1.80501e-12
2.1, 8.11007e-11, 1.69342e-11, 1.96442e-12
2.2, 8.03053e-11, 1.75569e-11, 2.13711e-12
2.3, 7.95099e-11, 1.81812e-11, 2.30815e-12
2.4, 7.87079e-11, 1.87824e-11, 2.50907e-12
2.5, 7.79374e-11, 1.93768e-11, 2.68509e-12
2.6, 7.71337e-11, 1.99862e-11, 2.87937e-12
2.7, 7.64496e-11, 2.04844e-11, 3.06536e-12
2.8, 7.56791e-11, 2.10307e-11, 3.28953e-12
2.9, 7.4892e-11, 2.16069e-11, 3.50042e-12
3, 7.41248e-11, 2.21483e-11, 3.72625e-12
3.1, 7.33178e-11, 2.27461e-11, 3.93548e-12
3.2, 7.26071e-11, 2.32409e-11, 4.15135e-12
3.3, 7.18814e-11, 2.3744e-11, 4.37386e-12
3.4, 7.11657e-11, 2.42455e-11, 4.58807e-12
3.5, 7.04982e-11, 2.46823e-11, 4.81888e-12
3.6, 6.97609e-11, 2.51605e-11, 5.07793e-12
3.7, 6.91017e-11, 2.55374e-11, 5.36022e-12
3.8, 6.83744e-11, 2.60605e-11, 5.56447e-12
3.9, 6.76603e-11, 2.65255e-11, 5.81355e-12
4, 6.69795e-11, 2.69721e-11, 6.04768e-12
4.1, 6.63236e-11, 2.73756e-11, 6.30009e-12
4.2, 6.56577e-11, 2.7741e-11, 6.60064e-12
4.3, 6.49985e-11, 2.81063e-11, 6.89456e-12
4.4, 6.43575e-11, 2.84384e-11, 7.20342e-12
4.5, 6.37066e-11, 2.88037e-11, 7.48903e-12
4.6, 6.31104e-11, 2.91192e-11, 7.76966e-12
4.7, 6.24612e-11, 2.94812e-11, 8.05694e-12
4.8, 6.18401e-11, 2.98083e-11, 8.35085e-12
4.9, 6.12257e-11, 3.01371e-11, 8.63646e-12
5, 6.05964e-11, 3.04626e-11, 8.94034e-12
5.1, 5.99737e-11, 3.07631e-11, 9.26249e-12
5.2, 5.93975e-11, 3.10305e-11, 9.57135e-12
5.3, 5.88146e-11, 3.13394e-11, 9.84534e-12
5.4, 5.82451e-11, 3.16001e-11, 1.01542e-11
5.5, 5.76373e-11, 3.18591e-11, 1.05029e-11
5.6, 5.70213e-11, 3.21314e-11, 1.08466e-11
5.7, 5.64002e-11, 3.2437e-11, 1.11621e-11
5.8, 5.5834e-11, 3.26777e-11, 1.14876e-11
5.9, 5.52876e-11, 3.29135e-11, 1.17981e-11
6, 5.47297e-11, 3.31427e-11, 1.21269e-11
6.1, 5.41684e-11, 3.33719e-11, 1.2459e-11
6.2, 5.36421e-11, 3.35479e-11, 1.28094e-11
6.3, 5.31472e-11, 3.37206e-11, 1.31315e-11
6.4, 5.26225e-11, 3.39348e-11, 1.34421e-11
6.5, 5.21077e-11, 3.40909e-11, 1.38007e-11
6.6, 5.15332e-11, 3.433e-11, 1.41362e-11
6.7, 5.10018e-11, 3.45143e-11, 1.44832e-11
6.8, 5.0497e-11, 3.46986e-11, 1.48037e-11
6.9, 5.00121e-11, 3.48032e-11, 1.5184e-11
7, 4.9514e-11, 3.49328e-11, 1.55526e-11
7.1, 4.90341e-11, 3.50457e-11, 1.59196e-11
7.2, 4.8501e-11, 3.52483e-11, 1.625e-11
7.3, 4.7978e-11, 3.53778e-11, 1.66436e-11
7.4, 4.74732e-11, 3.55538e-11, 1.69724e-11
7.5, 4.70381e-11, 3.56385e-11, 1.73227e-11
7.6, 4.65914e-11, 3.57265e-11, 1.76814e-11
7.7, 4.61381e-11, 3.58045e-11, 1.80567e-11
7.8, 4.5708e-11, 3.58859e-11, 1.84054e-11
7.9, 4.52181e-11, 3.6032e-11, 1.87491e-11
8, 4.47565e-11, 3.6135e-11, 1.91078e-11
8.1, 4.43181e-11, 3.62197e-11, 1.94615e-11
8.2, 4.38615e-11, 3.62977e-11, 1.98401e-11
8.3, 4.34679e-11, 3.62944e-11, 2.0237e-11
8.4, 4.30362e-11, 3.63309e-11, 2.06322e-11
8.5, 4.26426e-11, 3.63475e-11, 2.10091e-11
8.6, 4.22225e-11, 3.64057e-11, 2.13711e-11
8.7, 4.1814e-11, 3.6492e-11, 2.16933e-11
8.8, 4.14022e-11, 3.65352e-11, 2.20619e-11
8.9, 4.09838e-11, 3.66265e-11, 2.2389e-11
9, 4.05736e-11, 3.66697e-11, 2.2756e-11
9.1, 4.019e-11, 3.66564e-11, 2.31529e-11
9.2, 3.98048e-11, 3.6668e-11, 2.35265e-11
9.3, 3.94046e-11, 3.66813e-11, 2.39134e-11
9.4, 3.90144e-11, 3.66747e-11, 2.43103e-11
9.5, 3.86457e-11, 3.66813e-11, 2.46723e-11
9.6, 3.82821e-11, 3.66863e-11, 2.5031e-11
9.7, 3.79051e-11, 3.67129e-11, 2.53813e-11
9.8, 3.74883e-11, 3.67295e-11, 2.57815e-11
9.9, 3.70765e-11, 3.67677e-11, 2.61552e-11
10, 3.66697e-11, 3.67959e-11, 2.65338e-11

0, 9.99993e-11, 0, 0
0.1, 9.89515e-11, 1.0395e-12, 8.3027e-15
0.2, 9.79801e-11, 1.99763e-12, 2.1587e-14
0.3, 9.69705e-11, 2.98897e-12, 3.98529e-14
0.4, 9.60074e-11, 3.92053e-12, 7.14032e-14
0.5, 9.50692e-11, 4.81556e-12, 1.14577e-13
0.6, 9.41758e-11, 5.64749e-12, 1.76017e-13
0.7, 9.32658e-11, 6.47942e-12, 2.54062e-13
0.8, 9.23725e-11, 7.30969e-12, 3.17163e-13
0.9, 9.13927e-11, 8.20638e-12, 4.0019e-13
1, 9.04014e-11, 9.09145e-12, 5.06464e-13
1.1, 8.94632e-11, 9.93833e-12, 5.97794e-13
1.2, 8.86047e-11, 1.06989e-11, 6.95766e-13
1.3, 8.77445e-11, 1.1466e-11, 7.88756e-13
1.4, 8.68794e-11, 1.22249e-11, 8.95031e-13
1.5, 8.59694e-11, 1.29954e-11, 1.03452e-12
1.6, 8.51093e-11, 1.37144e-11, 1.17566e-12
1.7, 8.42225e-11, 1.445e-11, 1.32677e-12
1.8, 8.33889e-11, 1.51607e-11, 1.44965e-12
1.9, 8.2557e-11, 1.582e-11, 1.62235e-12
2, 8.1672e-11, 1.65589e-11, 1.76847e-12
2.1, 8.08251e-11, 1.72314e-11, 1.94283e-12
2.2, 8.0023e-11, 1.78558e-11, 2.12051e-12
2.3, 7.92476e-11, 1.84519e-11, 2.29985e-12
2.4, 7.84588e-11, 1.90746e-11, 2.4659e-12
2.5, 7.77415e-11, 1.96209e-11, 2.63694e-12
2.6, 7.69112e-11, 2.02719e-11, 2.81627e-12
2.7, 7.6144e-11, 2.08265e-11, 3.02882e-12
2.8, 7.54101e-11, 2.13512e-11, 3.23805e-12
2.9, 7.46778e-11, 2.18544e-11, 3.46721e-12
3, 7.39322e-11, 2.23974e-11, 3.66979e-12
3.1, 7.31899e-11, 2.29171e-11, 3.8923e-12
3.2, 7.23962e-11, 2.34867e-11, 4.11648e-12
3.3, 7.1644e-11, 2.39915e-11, 4.3639e-12
3.4, 7.09764e-11, 2.44149e-11, 4.608e-12
3.5, 7.02408e-11, 2.49048e-11, 4.85376e-12
3.6, 6.95699e-11, 2.53448e-11, 5.08457e-12
3.7, 6.88958e-11, 2.57666e-11, 5.33697e-12
3.8, 6.82232e-11, 2.6185e-11, 5.59103e-12
3.9, 6.75773e-11, 2.65487e-11, 5.87333e-12
4, 6.68849e-11, 2.69672e-11, 6.14732e-12
4.1, 6.62538e-11, 2.73092e-11, 6.43625e-12
4.2, 6.55846e-11, 2.76812e-11, 6.73349e-12
4.3, 6.49354e-11, 2.80897e-11, 6.97426e-12
4.4, 6.42496e-11, 2.85032e-11, 7.24659e-12
4.5, 6.3675e-11, 2.8802e-11, 7.52224e-12
4.6, 6.30424e-11, 2.91325e-11, 7.82446e-12
4.7, 6.23781e-11, 2.94895e-11, 8.13166e-12
